Ingredient Name,Unit of Measurement,Purchase Unit,Conversion Factor,Cost Per Unit,Category,Description,Minimum Stock Level,Current Stock,Storage Temperature,Is Perishable,Shelf Life Days,Brand,Active,Available
Milk ,liter,bottle,1000,48.0,Dairy,,,0.0,room_temperature,True,,SARAS ,True,True
Milk Tetra ,liter,bottle,1000,70.29,Dairy,,84.0,0.0,room_temperature,False,,AMUL ,True,True
Cream ,liter,bottle,1000,212.21,Dairy,,2.5,0.0,room_temperature,False,,AMUL ,True,True
Butter ,kg,packet,500,257.5,Dairy,,5.0,0.0,room_temperature,False,,AMUL ,True,True
Mozrella Cheese ,kg,packet,1000,501.0,Dairy,,,0.0,room_temperature,False,,,True,True
Paneer Jain,kg,packet,1000,360.0,Dairy,,,0.0,room_temperature,False,,,True,True
Paneer Barmer,kg,packet,1000,200.0,Dairy,,,0.0,room_temperature,False,,,True,True
Bread ,kg,packet,500,34.0,Dairy,,,0.0,room_temperature,False,,,True,True
Bread ,kg,packet,900,33.0,Dairy,,,0.0,room_temperature,False,,SUPER,True,True
Brown Bread ,kg,packet,500,40.0,Dairy,,,0.0,room_temperature,False,,,True,True
Ice Cream Butter Scotch ,liter,bottle,5000,584.0,Dairy,,,0.0,room_temperature,False,,VADILAL ,True,True
Ice Cream Vanilla ,liter,bottle,5000,519.0,Dairy,,,0.0,room_temperature,False,,VADILAL ,True,True
Ice Cream Strawberry ,liter,bottle,5000,536.0,Dairy,,,0.0,room_temperature,False,,VADILAL ,True,True
Ice Cream Chocolate ,liter,bottle,5000,744.0,Dairy,,,0.0,room_temperature,False,,VADILAL ,True,True
Ice Cream American,liter,bottle,5000,739.0,Dairy,,,0.0,room_temperature,False,,VADILAL ,True,True
 Ice Cream Family Pack ,packet,packet,700,287.0,Dairy,,,0.0,room_temperature,False,,VADILAL ,True,True
Cheese ,kg,packet,1000,505.0,Dairy,,,0.0,room_temperature,False,,AMUL ,True,True
Lassi ,liter,bottle,200,17.57,Dairy,,,0.0,room_temperature,False,,AMUL ,True,True
Butter Milk ,liter,bottle,150,13.8,Dairy,,,0.0,room_temperature,False,,AMUL ,True,True
Cool ,liter,bottle,180,21.8,Dairy,,,0.0,room_temperature,False,,AMUL ,True,True
Cheese Slice,packet,packet,200,129.41,Dairy,,,0.0,room_temperature,False,,AMUL ,True,True
Egg,piece,individual,50,4.93,Non_veg,,,0.0,room_temperature,False,,,True,True
Chicken ,kg,packet,1000,172.0,Non_veg,,,0.0,room_temperature,False,,,True,True
Fish Fungus ,kg,packet,1000,120.0,Non_veg,,,0.0,room_temperature,False,,,True,True
Fish Basa,kg,packet,1000,252.0,Non_veg,,,0.0,room_temperature,False,,,True,True
Fish Rohu ,kg,packet,1000,160.0,Non_veg,,,0.0,room_temperature,False,,,True,True
Prawns Fish ,kg,packet,1000,1210.0,Non_veg,,,0.0,room_temperature,False,,,True,True
Mutton Fresh ,kg,packet,1000,210.0,Non_veg,,,0.0,room_temperature,False,,,True,True
Mutton Curry Cut ,kg,packet,1000,500.0,Non_veg,,,0.0,room_temperature,False,,,True,True
Chicken Sauce ,kg,packet,1000,500.0,Non_veg,,,0.0,room_temperature,False,,,True,True
Tuna Fish - In Brine ,can,can,180,125.0,Non_veg,,,0.0,room_temperature,False,,GOLDEN CROWN ,True,True
Atta Wheat ,kg,packet,30,33.4,Flour,,280.0,0.0,room_temperature,False,,TAPARIA ,True,True
Maida ,kg,packet,45,35.0,Flour,,18.0,0.0,room_temperature,False,,TAPARIA ,True,True
Besan ,kg,packet,1000,90.0,Flour,,15.0,0.0,room_temperature,False,,TAPARIA ,True,True
Besan ,kg,packet,1000,94.5,Flour,,,0.0,room_temperature,False,,TAPARIA ,True,True
Corn Flour ,kg,packet,1000,60.0,Flour,,2.0,0.0,room_temperature,False,,,True,True
Atta 00 Piza Flour,kg,packet,1000,135.0,Flour,,,0.0,room_temperature,False,,,True,True
"Mango,Apple",liter,bottle,1000,86.25,Beverages_biscuits,,,0.0,room_temperature,False,,REAL FRUIT JUICE ,True,True
"Pineapple, Mix, Orange",liter,bottle,1000,97.49,Beverages_biscuits,,,0.0,room_temperature,False,,REAL FRUIT JUICE ,True,True
Guava ,liter,bottle,1000,90.0,Beverages_biscuits,,,0.0,room_temperature,False,,REAL FRUIT JUICE ,True,True
Mix Fruit Juice ,liter,bottle,1200,66.66,Beverages_biscuits,,,0.0,room_temperature,False,,,True,True
Mix Fruit Juice ,liter,bottle,600,31.79,Beverages_biscuits,,,0.0,room_temperature,False,,PAPER BOAT ,True,True
Juice  125 Ml,liter,bottle,125,8.67,Beverages_biscuits,,600.0,0.0,room_temperature,False,,PAPER BOAT ,True,True
Mango Juice ,liter,bottle,125,8.67,Beverages_biscuits,,,0.0,room_temperature,False,,MAAZA ,True,True
Cold Drink ,liter,bottle,2500,92.22,Beverages_biscuits,,,0.0,room_temperature,False,,COCA COLA ,True,True
Cold Drink ,liter,bottle,1000,75.55,Beverages_biscuits,,,0.0,room_temperature,False,,COCA COLA ,True,True
Cold Drink ,liter,bottle,250,18.21,Beverages_biscuits,,,0.0,room_temperature,False,,COCA COLA ,True,True
Soda ,liter,bottle,750,15.0,Beverages_biscuits,,,0.0,room_temperature,False,,KINLEY ,True,True
Soda ,liter,bottle,300,9.17,Beverages_biscuits,,,0.0,room_temperature,False,,PEPSI,True,True
Water Mineral,liter,bottle,1000,9.16,Beverages_biscuits,,,0.0,room_temperature,False,,BISLERI ,True,True
 Water Mineral,liter,bottle,500,6.66,Beverages_biscuits,,,0.0,room_temperature,False,,BISLERI ,True,True
 Water Mineral,liter,bottle,250,5.0,Beverages_biscuits,,,0.0,room_temperature,False,,BISLERI ,True,True
Biscuit Rs 5,packet,packet,1,4.54,Beverages_biscuits,,,0.0,room_temperature,False,,,True,True
Biscuit Rs 10,packet,packet,1,8.6,Beverages_biscuits,,,0.0,room_temperature,False,,,True,True
Namkeen Rs 5,packet,packet,1,3.95,Beverages_biscuits,,,0.0,room_temperature,False,,,True,True
Namkeen Rs 10,packet,packet,1,7.55,Beverages_biscuits,,,0.0,room_temperature,False,,,True,True
Muesli ,packet,packet,1000,602.0,Beverages_biscuits,,,0.0,room_temperature,False,,TATA ,True,True
Lays ,packet,packet,1,9.0,Beverages_biscuits,,,0.0,room_temperature,False,,,True,True
Kurkure ,packet,packet,1,9.0,Beverages_biscuits,,,0.0,room_temperature,False,,,True,True
Namkeen,packet,packet,400,90.0,Beverages_biscuits,,,0.0,room_temperature,False,,,True,True
Biscuit Rs 25 ,packet,packet,1,19.0,Beverages_biscuits,,,0.0,room_temperature,False,,,True,True
Jeera  Drink,liter,bottle,1,8.67,Beverages_biscuits,,,0.0,room_temperature,False,,,True,True
Muesli ,packet,packet,500,313.0,Beverages_biscuits,,8.0,0.0,room_temperature,False,,BAGRRY'S,True,True
Coca Cola,can,can,300,40.0,Beverages_biscuits,,,0.0,room_temperature,False,,COKE,True,True
Red Bull Energy Drink,can,can,1,92.62,Beverages_biscuits,,,0.0,room_temperature,False,,,True,True
Tonic Water,can,can,1,46.62,Beverages_biscuits,,,0.0,room_temperature,False,,,True,True
Khush Sharbat,liter,bottle,1000,227.0,Beverages_biscuits,,,0.0,room_temperature,False,,,True,True
Rose Marry,packet,packet,250,180.0,Beverages_biscuits,,,5.0,room_temperature,False,0.0,,True,True
Rose Sharbat,liter,bottle,1000,312.0,Beverages_biscuits,,,45.0,room_temperature,False,0.0,,True,True
Thandai,liter,bottle,1000,345.0,Beverages_biscuits,,,0.0,room_temperature,False,,,True,True
Kitchen King ,packet,packet,100,63.65,Spices,,14.0,0.0,room_temperature,False,,TATA ,True,True
Chole Masala ,packet,packet,100,62.31,Spices,,2.0,0.0,room_temperature,False,,TATA ,True,True
Chat Masala ,packet,packet,100,60.3,Spices,,3.0,0.0,room_temperature,False,,TATA ,True,True
Meat Masala ,packet,packet,100,65.0,Spices,,2.0,0.0,room_temperature,False,,TATA ,True,True
Chicken Masala ,packet,packet,100,65.0,Spices,,5.0,0.0,room_temperature,False,,TATA ,True,True
Salt ,packet,packet,1,25.0,Spices,,,0.0,room_temperature,False,,TATA ,True,True
Salt ,packet,packet,1,13.7,Spices,,14.0,0.0,room_temperature,False,,NIRMA ,True,True
Salt ,packet,packet,1,6.64,Spices,,,0.0,room_temperature,False,,TAPARIA ,True,True
Salt Sandha,packet,packet,1,34.0,Spices,,,0.0,room_temperature,False,,,True,True
Briyani Masala ,packet,packet,50,61.0,Spices,,1.0,0.0,room_temperature,False,,CATCH ,True,True
Tea Masala ,packet,packet,50,49.0,Spices,,,0.0,room_temperature,False,,CATCH ,True,True
Hing ,liter,bottle,100,188.0,Spices,,3.0,0.0,room_temperature,False,,CATCH ,True,True
Kashmiri Lal Red Chilli Powder ,kg,packet,1000,640.0,Spices,,3.0,0.0,room_temperature,False,,CATCH ,True,True
Rajma Masala ,packet,packet,100,64.0,Spices,,1.0,0.0,room_temperature,False,,CATCH ,True,True
Sambhar Masala ,packet,packet,100,88.0,Spices,,3.0,0.0,room_temperature,False,,CATCH ,True,True
Pav Bhaji Masala ,packet,packet,100,75.0,Spices,,,0.0,room_temperature,False,,CATCH ,True,True
White Pepper Masala ,kg,packet,1000,1500.0,Spices,,,0.0,room_temperature,False,,CATCH ,True,True
Rasam Masala ,packet,packet,100,57.0,Spices,,,0.0,room_temperature,False,,FLAVARICH ,True,True
Kasturi Methi ,packet,packet,100,44.0,Spices,,4.0,0.0,room_temperature,False,,PUNEET MASALA ,True,True
Pani Puri Masala ,kg,packet,100,67.0,Spices,,,0.0,room_temperature,False,,AMAZING ,True,True
Jeera  ,kg,packet,1000,241.0,Spices,,3.0,0.0,room_temperature,False,,,True,True
Salt White Pouch  250,packet,packet,250,50.0,Spices,,,0.0,room_temperature,False,,,True,True
Salt Black Pouch 250 ,packet,packet,250,160.0,Spices,,,0.0,room_temperature,False,,,True,True
Methi Sabut ,kg,packet,1000,94.0,Spices,,0.2,0.0,room_temperature,False,,,True,True
Rai ,kg,packet,1000,75.6,Spices,,0.5,0.0,room_temperature,False,,,True,True
Amchur ,kg,packet,1000,150.0,Spices,,,0.0,room_temperature,False,,,True,True
Haldi Powder ,kg,packet,1000,208.0,Spices,,4.0,0.0,room_temperature,False,,,True,True
Red Chilli Powder ,kg,packet,1000,194.0,Spices,,4.0,0.0,room_temperature,False,,,True,True
Dhania Powder ,kg,packet,1000,134.0,Spices,,4.0,0.0,room_temperature,False,,,True,True
Red Chilli Sabut ,kg,packet,1000,169.0,Spices,,0.5,0.0,room_temperature,False,,,True,True
